Group,k,Pooled_pct,CI95_Lo,CI95_Hi,I2_pct,Q,p_Q,tau2,z,p_value,Sig
Type A,12,56.14,41.91,69.43,0.0,8.617,0.6572,0.0,1.51,0.1311,n.s.
Type B,3,24.36,5.57,63.74,0.0,1.376,0.5027,0.0,1.51,0.1311,n.s.
